VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757257413	100.45	-7.55597	-0.723282	0.951773	0.00291486	-0.00207862	-0.306782	0	-1	0	1	0	1209.9	4.96211	img_Car1__0_1698757257401780200.png
Car1	1698757257543	100.659	-7.7438	-0.722691	0.947582	0.00345001	-0.00250526	-0.319483	0	0	0	1	0	1090.04	4.64733	img_Car1__0_1698757257542447600.png
Car1	1698757257682	101.143	-8.19739	-0.722602	0.939261	0.00298147	-0.00267125	-0.34318	0	0	0	1	0	989.65	4.3157	img_Car1__0_1698757257682472300.png
Car1	1698757257821	101.598	-8.59333	-0.722782	0.938014	0.000859325	-0.00203547	-0.346591	0	-1	0	1	0	915.435	3.96352	img_Car1__0_1698757257820975000.png
Car1	1698757257960	101.993	-8.97846	-0.722775	0.933192	0.00105438	-0.00225845	-0.359369	0	0	0	1	0	849.946	3.63775	img_Car1__0_1698757257960331900.png
Car1	1698757258099	102.352	-9.34033	-0.722827	0.929533	0.000469955	-0.00198136	-0.368734	1	0	0	1	0	873.244	3.3447	img_Car1__0_1698757258099130400.png
Car1	1698757258238	102.691	-9.66064	-0.722877	0.92945	-0.000452002	-0.00150338	-0.368945	1	-1	0	1	0	1207.95	3.16943	img_Car1__0_1698757258237794600.png
Car1	1698757258376	103.002	-9.97267	-0.723026	0.927402	6.14736e-05	-0.00121566	-0.374065	1	-1	0	1	0	1733.35	3.22685	img_Car1__0_1698757258375770700.png
Car1	1698757258514	103.29	-10.3137	-0.723082	0.920671	0.00155904	-0.00103007	-0.390336	1	0	0	1	0	2195.55	3.46846	img_Car1__0_1698757258513628500.png
Car1	1698757258654	103.595	-10.6846	-0.723529	0.915038	0.00155993	-0.000169789	-0.403366	1	0	0	1	0	2607.76	3.79107	img_Car1__0_1698757258653680100.png
